partida,descripcion,monto_disp,last_updated,update_type
24101,PRODUCTOS MINERALES NO METÁLICOS,0,2024-03-08,0
24201,CEMENTO Y PRODUCTOS DE CONCRETO,1000,2024-03-08,0
24601,MATERIAL ELÉCTRICO Y ELECTRÓNICO,10000,2024-03-08,0
24701,ARTÍCULOS METÁLICOS PARA LA CONSTRUCCIÓN,7000,2024-03-08,0
24901,OTROS MATERIALES Y ARTÍCULOS DE CONSTRUCCIÓN Y REPARACIÓN,4000,2024-03-08,0
25601,"FIBRAS SINTÉTICAS, HULES, PLÁSTICOS Y DERIVADOS",30000,2024-03-08,0
26102,LUBRICANTES Y ADITIVOS,1500,2024-03-08,0
27201,PRENDAS DE SEGURIDAD Y PROTECCIÓN PERSONAL,3000,2024-03-08,0
29101,HERRAMIENTAS MENORES,20000,2024-03-08,0
29201,REFACCIONES Y ACCESORIOS MENORES DE EDIFICIOS,7000,2024-03-08,0
29601,REFACCIONES Y ACCESORIOS MENORES DE EQUIPO DE TRANSPORTE,9900,2024-03-08,0
29901,REFACCIONES Y ACCESORIOS MENORES OTROS BIENES MUEBLES,20000,2024-03-08,0
33603,IMPRESIONES Y PUBLICACIONES OFICIALES,2000,2024-03-08,0
35501,MANTENIMIENTO Y CONSERVACIÓN DE EQUIPO DE TRANSPORTE,20000,2024-03-08,0
