cct,nombre,turno,nivel,subnivel,detalle,matricula,docentes,p_de_apoyo,calle,numero,entre_calle,y_calle,colonia,municipio,localidad,ambito,zona_esc,sector,latitud,longitud
26DAI0001U,RAFAEL MORALES NIEBLAS,MATUTINO,BÁSICA,PRIMARIA,INDÍGENA,73,6,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,LAS BOCAS,RURAL,11,1,26.581389,-109.328056
26DAI0003S,TRIBU GUARIJIO NUM. 1,DISCONTINUO,BÁSICA,PRIMARIA,INDÍGENA,79,7,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ALAMOS,MESA COLORADA,RURAL,203,2,27.571436,-108.865089
26DAI0004R,TRIBU GUARIJIO NUM. 2,MATUTINO,BÁSICA,PRIMARIA,INDÍGENA,35,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,QUIRIEGO,LOS BAJIOS (EJIDO LOS CONEJOS),RURAL,202,5,27.673333,-108.991389
26DAI0006P,TRIBU PAPAGO,MATUTINO,BÁSICA,PRIMARIA,INDÍGENA,11,2,3,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GENERAL PLUTARCO ELIAS CALLES,QUITOVAC,RURAL,402,6,31.515278,-112.751111
26DAI0008N,GUADALUPE VICTORIA,MATUTINO,BÁSICA,PRIMARIA,INDÍGENA,79,4,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,YECORA,MAYCOBA,RURAL,403,3,28.392778,-108.66
26DCC0001Y,EL RANCHITO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,70,4,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,EL RECODO,RURAL,103,5,27.077222,-109.5275
26DCC0003W,EL MANGUITO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,89,5,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,LA BOCANA,RURAL,105,1,26.886667,-109.669167
26DCC0005U,EL BAYNORO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,21,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,BAYNORILLO,RURAL,105,1,26.864722,-109.616389
26DCC0006T,U-ILI-BOO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,12,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,JOPOPACO,RURAL,103,5,26.739444,-109.271944
26DCC0008R,U-PARISEERO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,33,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,BUIYACUSI,RURAL,107,5,27.148889,-109.426389
26DCC0009Q,U-ILI-KUSI,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,30,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,TETAPECHE,RURAL,104,5,27.205833,-109.361667
26DCC0010F,U-MATACHIN,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,13,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,TEACHIVE,RURAL,103,5,26.781667,-109.230833
26DCC0011E,LOS FRUTITOS,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,11,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,EL SUFRAGIO,RURAL,102,1,26.86318,-109.693718
26DCC0012D,LOS JUGUETITOS,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,84,5,1,CALLE LAZARO CARDENAS DEL RIO,0,CALLE ADOLFO LOPEZ MATEOS,CALLE ADOLFO LOPEZ MATEOS,NINGUNO,HUATABAMPO,LOMA DE ETCHOROPO,URBANO,101,1,26.766303,-109.68174
26DCC0013C,LOS ALAMITOS,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,22,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,JUPARE,RURAL,102,1,26.800278,-109.698333
26DCC0014B,EL FUTURO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,29,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,EL RIITO DE MAZARAY (RIITO MUERTO),RURAL,101,1,26.754444,-109.647222
26DCC0015A,EL NOPAL,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,37,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,NAVOBAXIA,RURAL,102,1,26.834444,-109.671667
26DCC0019X,INTERNACIONAL,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,62,4,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,CHIRAJOBAMPO,RURAL,103,5,26.897222,-109.403889
26DCC0020M,EL CHINITO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,35,3,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,CHINOTAHUECA,RURAL,104,5,27.024722,-109.531667
26DCC0021L,LA ESPINITA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,49,3,0,CALLE FRANCISCO I. MADERO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,NACHUQUIS (SAN ANTONIO NACHUQUIS),RURAL,107,5,27.081111,-109.543611
26DCC0022K,EL SABER,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,21,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,CITAVARO,RURAL,102,1,26.879444,-109.710833
26DCC0024I,EL GUAYABITO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,25,1,0,CALLE ORLANDO AGRAMON,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,LAS GUAYABAS,RURAL,105,1,26.896944,-109.688889
26DCC0025H,LA COMARCA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,41,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,RANCHO CAMARGO,RURAL,107,5,27.100278,-109.530278
26DCC0026G,EL RANCHITO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,24,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,RANCHO DEL PADRE (EL PADRE),RURAL,107,5,27.115556,-109.515278
26DCC0027F,LA PECHITA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,28,0,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,MEZQUITAL DE BUIYACUSI,RURAL,104,5,27.148611,-109.421389
26DCC0029D,U-ME-WAAYIM,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,9,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,TRES HERMANOS,RURAL,104,5,27.194722,-109.195833
26DCC0030T,LAS MARIPOSAS,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,67,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GUAYMAS,TORIM,RURAL,304,3,27.578611,-110.229167
26DCC0032R,BEOSKO CHOKI,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,15,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GUAYMAS,CASAS BLANCAS,RURAL,303,3,27.599167,-110.319444
26DCC0033Q,U-ILI-CARI-TOSALI,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,33,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,SAN JOSE MASIACA,RURAL,103,5,26.746944,-109.246667
26DCC0034P,JOSE MARIA TETABIATE,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,30,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,SAN IGNACIO RIO MUERTO,TETABIATE,RURAL,303,3,27.445925,-110.321948
26DCC0036N,EL MUNDITO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,42,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,GUADALUPE DE JUAREZ,RURAL,107,5,27.360833,-109.723056
26DCC0038L,U-ILI-SEWA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,45,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,ETCHOHUAQUILA,RURAL,107,5,27.318611,-109.756944
26DCC0039K,MACOCHINI,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,82,3,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GUAYMAS,VICAM (SWITCH),URBANO,304,3,27.632599,-110.292832
26DCC0045V,U-ILI TO-TO-RO-ORA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,34,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,EL CENTENARIO,RURAL,106,1,27.063801,-109.558367
26DCC0046U,LA PLUMITA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,25,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,NAVOLATO,RURAL,106,1,27.033611,-109.566667
26DCC0048S,BENITO JUAREZ,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,10,0,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ALAMOS,LOS CAMOTES (SAN JOSE DEL PALMAR),RURAL,204,2,27.274722,-108.836667
26DCC0050G,U-ILI-AQUI,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,37,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,AQUICHOPO,RURAL,106,1,27.076667,-109.558611
26DCC0053D,U-MAASO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,73,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,AGIABAMPO UNO,RURAL,12,1,26.366389,-109.145556
26DCC0054C,U-TAA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,35,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,LA SABILA,RURAL,101,1,26.765278,-109.624722
26DCC0055B,IM ILI KARY,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,119,1,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GUAYMAS,GUASIMAS (DE BELEM),RURAL,303,3,27.885833,-110.581667
26DCC0056A,YOLKO WIKIT,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,40,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GUAYMAS,VICAM PUEBLO,RURAL,303,3,27.586944,-110.323333
26DCC0057Z,U-BISEROU,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,38,2,0,NINGUNO NINGUNO,158,CALLE SIN REFERENCIA,CALLE SIN REFERENCIA,NINGUNO,HUATABAMPO,MOCHIBAMPO,RURAL,101,1,26.748611,-109.613333
26DCC0058Z,UME-NAMUM,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,15,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,SAN ANTONIO,RURAL,101,1,26.760013,-109.600225
26DCC0059Y,BATACONCICA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,22,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,BACUM,BATACONCICA (MUSEO CHOPOCUNI),RURAL,304,3,27.559167,-110.129444
26DCC0061M,NICOLAS BRAVO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,6,0,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ALAMOS,TECHOBAMPO,RURAL,204,2,27.301667,-108.885
26DCC0066H,UME-USIM,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,16,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,LA REFORMA,RURAL,102,1,26.830716,-109.732189
26DCC0068F,EL ROSAL,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,57,4,0,CALLE ALVARO OBREGON,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,ROSALES,RURAL,107,5,27.131944,-109.436944
26DCC0069E,LA LOMITA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,77,5,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,LOMA DE ETCHOROPO,URBANO,101,1,26.758213,-109.678341
26DCC0070U,LA ALEGRIA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,21,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,LA ESCALERA,RURAL,101,1,26.776389,-109.649722
26DCC0072S,MANZANITA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,76,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,CAJEME,LOMA DE GUAMUCHIL,RURAL,304,3,27.609722,-109.986667
26DCC0073R,LA HUERTA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,51,2,0,NINGUNO NINGUNO,0,CAMINO CARRETERO,CAMINO CARRETERO,NINGUNO,CAJEME,COCORIT,URBANO,304,3,27.582387,-109.960456
26DCC0074Q,CUAUHTEMOC,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,72,3,0,CALLE NAINARI,0,CALLE MIGUEL HIDALGO,CALLE MIGUEL HIDALGO,NINGUNO,GUAYMAS,VICAM (SWITCH),URBANO,303,3,27.641896,-110.298316
26DCC0077N,YOORI,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,10,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,LUIS ECHEVERRIA ZUNO,RURAL,12,1,26.781111,-109.520833
26DCC0078M,SOUTEELA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,92,3,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GUAYMAS,POTAM,URBANO,303,3,27.622413,-110.424579
26DCC0083Y,HNOS FLORES MAGON,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,10,0,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ALAMOS,COCHIBAMPO,RURAL,204,2,27.172778,-108.825278
26DCC0085W,LA SIEMBRITA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,17,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,EL ALTO SAN CRISTOBAL,RURAL,101,1,26.845556,-109.578423
26DCC0088T,LA ESCUELITA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,12,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GUAYMAS,EL CASTILLO,RURAL,304,3,27.519444,-110.182778
26DCC0090H,LOS CONEJITOS,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,47,3,0,CALLE 16 DE SEPTIEMBRE,0,CALLE MIGUEL HIDALGO,CALLE MIGUEL HIDALGO,NINGUNO,NAVOJOA,LOS BUAYUMS,RURAL,103,5,26.862222,-109.436111
26DCC0091G,ESPERANZA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,39,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,JITONHUECA,RURAL,106,1,27.061667,-109.605
26DCC0092F,EL PASCOLA,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,38,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,GUAYPARIN,RURAL,105,1,26.966667,-109.646944
26DCC0093E,SAHUARITO,MATUTINO,BÁSICA,PREESCOLAR,INDÍGENA,74,5,1,CALLE CENTRAL,0,CALLE JOSE MARIA MORELOS,CALLE JOSE MARIA MORELOS,NINGUNO,ETCHOJOA,SAHUARAL,URBANO,105,1,26.927843,-109.668377
